predicted_non,ACTION,COMPONENT,FUNCTION,ISSUE,O,PARAMETER,STATE
ACTION,154,0,0,1,2,0,0
COMPONENT,0,270,2,8,14,2,2
FUNCTION,8,4,247,0,5,2,0
ISSUE,0,2,8,708,7,0,0
O,10,1,3,8,3017,4,5
PARAMETER,0,0,0,0,12,444,0
STATE,1,0,5,0,10,2,103
