predicted_non,ACTION,COMPONENT,FUNCTION,ISSUE,O,PARAMETER,STATE,TRUE,PRED,TP,FP,FN,TN
ACTION,154,0,0,1,2,0,0,173,157,154,3,19,4789
COMPONENT,0,270,2,8,14,2,2,277,298,270,28,7,4673
FUNCTION,8,4,247,0,5,2,0,265,266,247,19,18,4696
ISSUE,0,2,8,708,7,0,0,725,725,708,17,17,4235
O,10,1,3,8,3017,4,5,3067,3048,3017,31,50,1926
PARAMETER,0,0,0,0,12,444,0,454,456,444,12,10,4499
STATE,1,0,5,0,10,2,103,110,121,103,18,7,4840
SUM,173,277,265,725,3067,454,110,5071,5071,4943,128,128,29658
