predicted_non,ACTION,COMPONENT,FUNCTION,ISSUE,O,PARAMETER,STATE
ACTION,155,1,0,1,3,0,1
COMPONENT,0,268,4,6,12,3,1
FUNCTION,7,2,246,1,1,0,0
ISSUE,1,2,7,708,6,0,0
O,9,1,6,8,3015,3,4
PARAMETER,1,2,0,1,18,446,2
STATE,0,1,2,0,12,2,102
