predicted_non,ACTION,COMPONENT,FUNCTION,ISSUE,O,PARAMETER,STATE,TRUE,PRED,TP,FP,FN,TN
ACTION,155,1,0,1,3,0,1,173,161,155,6,18,4785
COMPONENT,0,268,4,6,12,3,1,277,294,268,26,9,4672
FUNCTION,7,2,246,1,1,0,0,265,257,246,11,19,4694
ISSUE,1,2,7,708,6,0,0,725,724,708,16,17,4232
O,9,1,6,8,3015,3,4,3067,3046,3015,31,52,1925
PARAMETER,1,2,0,1,18,446,2,454,470,446,24,8,4494
STATE,0,1,2,0,12,2,102,110,119,102,17,8,4838
SUM,173,277,265,725,3067,454,110,5071,5071,4940,131,131,29640
