,accuracy,precision,recall,f1
STATE,0.9949647532729103,0.8571428571428571,0.9272727272727272,0.890829694323144
O,0.9834760103523791,0.9898227183191071,0.9830453211607434,0.9864223785375429
FUNCTION,0.993963782696177,0.9571984435797666,0.9283018867924528,0.942528735632184
ISSUE,0.9933641664990951,0.9779005524861878,0.976551724137931,0.9772256728778467
ACTION,0.9951651893634166,0.9627329192546584,0.8959537572254336,0.9281437125748503
COMPONENT,0.992964824120603,0.9115646258503401,0.9675090252707581,0.9387040280210157
PARAMETER,0.9935639581657281,0.948936170212766,0.9823788546255506,0.9653679653679653
macro,0.9924946692100443,0.9436140409779548,0.9515733280693709,0.9470317410477926
micro,0.9924803398197578,0.9741668309998028,0.9741668309998028,0.9741668309998028
