,accuracy,precision,recall,f1
PARAMETER,0.9931726907630523,0.9393305439330544,0.9889867841409692,0.9635193133047211
O,0.9827140870256308,0.9901315789473685,0.9814150635800456,0.9857540527263796
ISSUE,0.9945706816810779,0.9860724233983287,0.976551724137931,0.9812889812889813
ACTION,0.9953713020728516,0.9746835443037974,0.8901734104046243,0.930513595166163
COMPONENT,0.993771348201728,0.912751677852349,0.9819494584837545,0.9460869565217391
FUNCTION,0.9949708308187487,0.9615384615384616,0.9433962264150944,0.9523809523809524
STATE,0.9953713020728516,0.865546218487395,0.9363636363636364,0.8995633187772926
macro,0.9928488918051344,0.9471506354943935,0.9569766147894365,0.9513010243094613
micro,0.9928309245239734,0.9753500295799645,0.9753500295799645,0.9753500295799645
