predicted_non,ACTION,COMPONENT,FUNCTION,ISSUE,O,PARAMETER,STATE
ACTION,154,0,0,1,3,0,0
COMPONENT,0,272,4,5,13,3,1
FUNCTION,8,0,250,0,2,0,0
ISSUE,0,0,5,708,5,0,0
O,10,1,4,9,3010,0,6
PARAMETER,1,3,0,2,23,449,0
STATE,0,1,2,0,11,2,103
