,accuracy,precision,recall,f1
PARAMETER,0.9749634884206134,0.8847926267281107,0.8458149779735683,0.8648648648648649
O,0.9633065347351062,0.9835955808503515,0.957939354417998,0.9705979517674265
ISSUE,0.9538681363543581,0.7952662721893491,0.926896551724138,0.8560509554140128
ACTION,0.9871144909167723,0.8076923076923077,0.8497109826589595,0.828169014084507
COMPONENT,0.979869993709373,0.8605577689243028,0.779783393501805,0.8181818181818181
FUNCTION,0.9842038753159225,0.8571428571428571,0.8603773584905661,0.8587570621468926
STATE,0.9915128368342881,0.8301886792452831,0.8,0.8148148148148149
macro,0.9764056223266334,0.8598908703960803,0.8600746598238621,0.8587766401820481
micro,0.9762437699585161,0.921514494182607,0.921514494182607,0.921514494182607
