predicted_non,ACTION,COMPONENT,FUNCTION,ISSUE,O,PARAMETER,STATE
ACTION,156,0,0,1,4,0,0
COMPONENT,0,272,3,10,16,2,2
FUNCTION,8,4,252,1,7,2,0
ISSUE,0,0,3,707,8,0,0
O,9,0,5,6,3010,3,6
PARAMETER,0,1,0,0,11,445,0
STATE,0,0,2,0,11,2,102
