,accuracy,precision,recall,f1
STATE,0.9953694382927321,0.8717948717948718,0.9272727272727272,0.8986784140969163
O,0.9829025844930418,0.9904573872984535,0.9814150635800456,0.9859154929577465
FUNCTION,0.9929704759991966,0.9197080291970803,0.9509433962264151,0.935064935064935
ISSUE,0.9941685099537503,0.9846796657381616,0.9751724137931035,0.9799029799029799
ACTION,0.995569875151027,0.968944099378882,0.9017341040462428,0.934131736526946
COMPONENT,0.9923725411481332,0.8918032786885246,0.9819494584837545,0.9347079037800687
PARAMETER,0.9957703927492447,0.973741794310722,0.9801762114537445,0.9769484083424808
macro,0.9927319739695893,0.9430184466295278,0.956951910693719,0.9493356958102962
micro,0.9927141299982789,0.9749556300532439,0.9749556300532439,0.9749556300532439
