predicted_non,ACTION,COMPONENT,FUNCTION,ISSUE,O,PARAMETER,STATE,TRUE,PRED,TP,FP,FN,TN
ACTION,156,0,0,1,4,0,0,173,161,156,5,17,4788
COMPONENT,0,272,3,10,16,2,2,277,305,272,33,5,4672
FUNCTION,8,4,252,1,7,2,0,265,274,252,22,13,4692
ISSUE,0,0,3,707,8,0,0,725,718,707,11,18,4237
O,9,0,5,6,3010,3,6,3067,3039,3010,29,57,1934
PARAMETER,0,1,0,0,11,445,0,454,457,445,12,9,4499
STATE,0,0,2,0,11,2,102,110,117,102,15,8,4842
SUM,173,277,265,725,3067,454,110,5071,5071,4944,127,127,29664
