predicted_non,ACTION,COMPONENT,FUNCTION,ISSUE,O,PARAMETER,STATE
ACTION,155,0,0,1,2,0,1
COMPONENT,0,271,2,5,11,4,2
FUNCTION,8,3,248,2,2,0,0
ISSUE,0,1,9,709,10,0,0
O,9,1,4,8,3015,2,5
PARAMETER,1,1,0,0,15,446,0
STATE,0,0,2,0,12,2,102
