predicted_non,ACTION,COMPONENT,FUNCTION,ISSUE,O,PARAMETER,STATE
ACTION,154,0,1,1,3,0,0
COMPONENT,0,275,5,7,14,4,1
FUNCTION,8,1,245,1,3,2,0
ISSUE,0,0,4,705,8,0,0
O,11,0,5,11,3011,6,6
PARAMETER,0,1,0,0,15,440,0
STATE,0,0,5,0,13,2,103
