predicted_non,ACTION,COMPONENT,FUNCTION,ISSUE,O,PARAMETER,STATE,TRUE,PRED,TP,FP,FN,TN
ACTION,154,0,1,1,1,0,0,173,157,154,3,19,4786
COMPONENT,0,271,4,3,13,3,2,277,296,271,25,6,4669
FUNCTION,8,0,245,3,2,0,0,265,258,245,13,20,4695
ISSUE,1,2,6,710,12,0,0,725,731,710,21,15,4230
O,9,0,3,8,3012,4,5,3067,3041,3012,29,55,1928
PARAMETER,1,3,3,0,16,445,0,454,468,445,23,9,4495
STATE,0,1,3,0,11,2,103,110,120,103,17,7,4837
SUM,173,277,265,725,3067,454,110,5071,5071,4940,131,131,29640
