,accuracy,precision,recall,f1
PARAMETER,0.9955689828801612,0.9736842105263158,0.9779735682819384,0.9758241758241758
O,0.9838773885350318,0.9898293963254593,0.9836974241930225,0.9867538838920686
ISSUE,0.9931685754470565,0.976551724137931,0.976551724137931,0.976551724137931
ACTION,0.9955689828801612,0.9808917197452229,0.8901734104046243,0.9333333333333333
COMPONENT,0.9929690638810768,0.9060402684563759,0.9747292418772563,0.9391304347826087
FUNCTION,0.992570281124498,0.9285714285714286,0.9320754716981132,0.9303201506591336
STATE,0.9949677938808373,0.8512396694214877,0.9363636363636364,0.8917748917748918
macro,0.9926701526612604,0.9438297738834602,0.9530806395652174,0.9476697992005919
micro,0.992655707605359,0.9747584302898836,0.9747584302898836,0.9747584302898836
