predicted_non,ACTION,COMPONENT,FUNCTION,ISSUE,O,PARAMETER,STATE,TRUE,PRED,TP,FP,FN,TN
ACTION,41,15,6,0,43,6,0,147,111,41,70,106,3151
COMPONENT,0,187,12,7,14,11,1,333,232,187,45,146,3005
FUNCTION,6,40,126,5,87,16,10,229,290,126,164,103,3066
ISSUE,1,30,45,199,98,23,5,304,401,199,202,105,2993
O,84,30,12,83,2341,22,17,2722,2589,2341,248,381,851
PARAMETER,10,25,17,5,118,214,6,299,395,214,181,85,2978
STATE,5,6,11,5,21,7,84,123,139,84,55,39,3108
SUM,147,333,229,304,2722,299,123,4157,4157,3192,965,965,19152
