,accuracy,precision,recall,f1
PARAMETER,0.9949708308187487,0.9632829373650108,0.9823788546255506,0.9727371864776445
O,0.9838870101452158,0.990473061760841,0.9830453211607434,0.9867452135493372
ISSUE,0.9927739863508631,0.9725651577503429,0.9779310344827586,0.9752407152682255
ACTION,0.9955716586151369,0.9748427672955975,0.8959537572254336,0.9337349397590362
COMPONENT,0.9939710610932476,0.9186440677966101,0.9783393501805054,0.9475524475524474
FUNCTION,0.9935717155484131,0.9429657794676806,0.9358490566037736,0.9393939393939394
STATE,0.9951710261569416,0.864406779661017,0.9272727272727272,0.8947368421052632
macro,0.9928453269612237,0.9467400787281572,0.9543957287930702,0.950020183443699
micro,0.9928309245239734,0.9753500295799645,0.9753500295799645,0.9753500295799645
