predicted_non,ACTION,COMPONENT,FUNCTION,ISSUE,O,PARAMETER,STATE
ACTION,41,15,6,0,43,6,0
COMPONENT,0,187,12,7,14,11,1
FUNCTION,6,40,126,5,87,16,10
ISSUE,1,30,45,199,98,23,5
O,84,30,12,83,2341,22,17
PARAMETER,10,25,17,5,118,214,6
STATE,5,6,11,5,21,7,84
