model,PARAMETER_accuracy,PARAMETER_precision,PARAMETER_recall,PARAMETER_f1,O_accuracy,O_precision,O_recall,O_f1,ISSUE_accuracy,ISSUE_precision,ISSUE_recall,ISSUE_f1,ACTION_accuracy,ACTION_precision,ACTION_recall,ACTION_f1,COMPONENT_accuracy,COMPONENT_precision,COMPONENT_recall,COMPONENT_f1,FUNCTION_accuracy,FUNCTION_precision,FUNCTION_recall,FUNCTION_f1,STATE_accuracy,STATE_precision,STATE_recall,STATE_f1,macro_accuracy,macro_precision,macro_recall,macro_f1,micro_accuracy,micro_precision,micro_recall,micro_f1
xlnet-base-cased,0.9931726907630524,0.9393305439330544,0.9889867841409692,0.9635193133047212,0.9827140870256308,0.9901315789473684,0.9814150635800456,0.9857540527263796,0.994570681681078,0.9860724233983288,0.976551724137931,0.9812889812889812,0.9953713020728516,0.9746835443037974,0.8901734104046243,0.930513595166163,0.993771348201728,0.912751677852349,0.9819494584837544,0.9460869565217392,0.9949708308187488,0.9615384615384616,0.9433962264150944,0.9523809523809524,0.9953713020728516,0.865546218487395,0.9363636363636364,0.8995633187772926,0.9928488918051344,0.9471506354943936,0.9569766147894364,0.9513010243094612,0.9928309245239734,0.9753500295799644,0.9753500295799644,0.9753500295799644
roberta-base,0.99395526899053,0.9649122807017544,0.9691629955947136,0.9670329670329672,0.9811058074781224,0.9872131147540985,0.9817411150961852,0.9844695111982998,0.9935548841893252,0.9832635983263598,0.9724137931034482,0.9778085991678224,0.995158361912447,0.9685534591194968,0.8901734104046243,0.927710843373494,0.9933548127265404,0.8986928104575164,0.9927797833935018,0.9433962264150944,0.9929549114331724,0.9423076923076924,0.9245283018867924,0.9333333333333332,0.9945564516129032,0.8373983739837398,0.9363636363636364,0.8841201716738197,0.9920914997632916,0.9403344756643798,0.9524518622632716,0.9454102360278328,0.9920705605194358,0.9727864326562808,0.9727864326562808,0.9727864326562808
electra-base-discriminator,0.9749634884206134,0.8847926267281107,0.8458149779735683,0.8648648648648649,0.9633065347351062,0.9835955808503516,0.957939354417998,0.9705979517674264,0.953868136354358,0.7952662721893491,0.926896551724138,0.8560509554140128,0.9871144909167724,0.8076923076923077,0.8497109826589595,0.828169014084507,0.979869993709373,0.8605577689243028,0.779783393501805,0.8181818181818181,0.9842038753159223,0.8571428571428571,0.8603773584905661,0.8587570621468926,0.991512836834288,0.8301886792452831,0.8,0.8148148148148149,0.9764056223266334,0.8598908703960803,0.8600746598238621,0.8587766401820481,0.976243769958516,0.921514494182607,0.921514494182607,0.921514494182607
distilroberta-base,0.9955689828801612,0.9736842105263158,0.9779735682819384,0.9758241758241758,0.9838773885350318,0.9898293963254592,0.9836974241930224,0.9867538838920686,0.9931685754470564,0.976551724137931,0.976551724137931,0.976551724137931,0.9955689828801612,0.9808917197452228,0.8901734104046243,0.9333333333333332,0.9929690638810768,0.906040268456376,0.9747292418772564,0.9391304347826088,0.992570281124498,0.9285714285714286,0.9320754716981132,0.9303201506591336,0.9949677938808372,0.8512396694214877,0.9363636363636364,0.8917748917748918,0.9926701526612604,0.9438297738834602,0.9530806395652174,0.947669799200592,0.992655707605359,0.9747584302898836,0.9747584302898836,0.9747584302898836
distilbert-base-cased,0.993563958165728,0.9508547008547008,0.9801762114537445,0.96529284164859,0.98328025477707,0.9904636632686616,0.9820671666123248,0.986247544204322,0.9927652733118972,0.9712722298221614,0.9793103448275862,0.9752747252747253,0.9955663039097138,0.9808917197452228,0.8901734104046243,0.9333333333333332,0.9937638302152484,0.9155405405405406,0.9783393501805054,0.9458987783595114,0.9933641664990952,0.9496124031007752,0.9245283018867924,0.936902485659656,0.9951651893634166,0.8583333333333333,0.9363636363636364,0.8956521739130435,0.9924955680345956,0.9452812272379136,0.9529940602470306,0.9483716974847402,0.9924803398197578,0.9741668309998028,0.9741668309998028,0.9741668309998028
bert-base-cased,0.9949708308187488,0.9632829373650108,0.9823788546255506,0.9727371864776444,0.9838870101452158,0.990473061760841,0.9830453211607434,0.9867452135493372,0.9927739863508632,0.9725651577503428,0.9779310344827586,0.9752407152682256,0.9955716586151367,0.9748427672955976,0.8959537572254336,0.9337349397590362,0.9939710610932476,0.91864406779661,0.9783393501805054,0.9475524475524474,0.9935717155484132,0.9429657794676806,0.9358490566037736,0.9393939393939394,0.9951710261569416,0.864406779661017,0.9272727272727272,0.8947368421052632,0.9928453269612236,0.9467400787281572,0.9543957287930702,0.950020183443699,0.9928309245239734,0.9753500295799644,0.9753500295799644,0.9753500295799644
