predicted_non,ACTION,COMPONENT,FUNCTION,ISSUE,O,PARAMETER,STATE
ACTION,155,0,0,1,7,0,0
COMPONENT,0,269,6,6,13,3,1
FUNCTION,7,3,245,0,1,2,1
ISSUE,0,1,5,708,7,0,0
O,11,3,5,10,3008,5,5
PARAMETER,0,1,0,0,20,442,1
STATE,0,0,4,0,11,2,102
