,accuracy,precision,recall,f1
PARAMETER,0.9939552689905299,0.9649122807017544,0.9691629955947136,0.9670329670329672
O,0.9811058074781225,0.9872131147540983,0.9817411150961852,0.9844695111982998
ISSUE,0.9935548841893252,0.9832635983263598,0.9724137931034482,0.9778085991678225
ACTION,0.995158361912447,0.9685534591194969,0.8901734104046243,0.927710843373494
COMPONENT,0.9933548127265405,0.8986928104575164,0.9927797833935018,0.9433962264150944
FUNCTION,0.9929549114331723,0.9423076923076923,0.9245283018867925,0.9333333333333333
STATE,0.9945564516129032,0.8373983739837398,0.9363636363636364,0.8841201716738197
macro,0.9920914997632916,0.9403344756643798,0.9524518622632717,0.9454102360278329
micro,0.9920705605194358,0.9727864326562808,0.9727864326562808,0.9727864326562808
