,accuracy,precision,recall,f1
STATE,0.9949535728704078,0.8571428571428571,0.9272727272727272,0.890829694323144
O,0.9805052715337179,0.9872005251066623,0.9807629605477666,0.9839712136081127
FUNCTION,0.9931493048559339,0.9459459459459459,0.9245283018867925,0.9351145038167938
ISSUE,0.9939503932244405,0.9819694868238558,0.976551724137931,0.979253112033195
ACTION,0.994752774974773,0.950920245398773,0.8959537572254336,0.9226190476190476
COMPONENT,0.9925493354812727,0.9026845637583892,0.9711191335740073,0.9356521739130436
PARAMETER,0.9931493048559339,0.9525862068965517,0.973568281938326,0.9629629629629629
macro,0.991858565399497,0.9397785472961478,0.9499652695118549,0.9443432440394713
micro,0.991836030701124,0.9719976336028396,0.9719976336028396,0.9719976336028396
