predicted_non,ACTION,COMPONENT,FUNCTION,ISSUE,O,PARAMETER,STATE,TRUE,PRED,TP,FP,FN,TN
ACTION,155,0,0,1,7,0,0,173,163,155,8,18,4774
COMPONENT,0,269,6,6,13,3,1,277,298,269,29,8,4660
FUNCTION,7,3,245,0,1,2,1,265,259,245,14,20,4684
ISSUE,0,1,5,708,7,0,0,725,721,708,13,17,4221
O,11,3,5,10,3008,5,5,3067,3047,3008,39,59,1921
PARAMETER,0,1,0,0,20,442,1,454,464,442,22,12,4487
STATE,0,0,4,0,11,2,102,110,119,102,17,8,4827
SUM,173,277,265,725,3067,454,110,5071,5071,4929,142,142,29574
