,accuracy,precision,recall,f1
PARAMETER,0.9935639581657281,0.9508547008547008,0.9801762114537445,0.96529284164859
O,0.98328025477707,0.9904636632686616,0.9820671666123247,0.9862475442043221
ISSUE,0.9927652733118971,0.9712722298221614,0.9793103448275862,0.9752747252747253
ACTION,0.9955663039097138,0.9808917197452229,0.8901734104046243,0.9333333333333333
COMPONENT,0.9937638302152484,0.9155405405405406,0.9783393501805054,0.9458987783595114
FUNCTION,0.9933641664990951,0.9496124031007752,0.9245283018867925,0.936902485659656
STATE,0.9951651893634166,0.8583333333333333,0.9363636363636364,0.8956521739130435
macro,0.9924955680345955,0.9452812272379136,0.9529940602470306,0.9483716974847402
micro,0.9924803398197578,0.9741668309998028,0.9741668309998028,0.9741668309998028
