,accuracy,precision,recall,f1
STATE,0.9889385237183578,0.7416666666666667,0.8090909090909091,0.7739130434782608
O,0.9585567010309278,0.9748177601060305,0.9592435604825562,0.9669679539852095
FUNCTION,0.9841236240474175,0.8598484848484849,0.8566037735849057,0.8582230623818525
ISSUE,0.9534454470877769,0.7985611510791367,0.9186206896551724,0.8543938422065427
ACTION,0.9860021208907741,0.7923497267759563,0.838150289017341,0.8146067415730336
COMPONENT,0.9781190826846202,0.8446215139442231,0.7653429602888087,0.8030303030303031
PARAMETER,0.9750419463087249,0.9177057356608479,0.8105726872246696,0.8608187134502924
macro,0.9748896351097999,0.8470815770116208,0.8510892670491946,0.8474219514436421
micro,0.9747206996735256,0.9167816998619601,0.9167816998619601,0.9167816998619601
