predicted_non,ACTION,COMPONENT,FUNCTION,ISSUE,O,PARAMETER,STATE
ACTION,147,2,1,19,11,0,2
COMPONENT,0,216,6,3,11,12,3
FUNCTION,5,3,228,17,7,0,6
ISSUE,5,41,10,672,61,53,3
O,12,9,8,13,2938,3,4
PARAMETER,4,3,10,1,28,384,4
STATE,0,3,2,0,11,2,88
