predicted_non,ACTION,COMPONENT,FUNCTION,ISSUE,O,PARAMETER,STATE,TRUE,PRED,TP,FP,FN,TN
ACTION,145,2,0,22,10,1,3,173,183,145,38,28,4504
COMPONENT,0,212,7,5,13,12,2,277,251,212,39,65,4437
FUNCTION,5,5,227,8,9,2,8,265,264,227,37,38,4422
ISSUE,2,44,11,666,60,50,1,725,834,666,168,59,3983
O,19,11,9,23,2942,8,6,3067,3018,2942,76,125,1707
PARAMETER,2,3,8,0,19,368,1,454,401,368,33,86,4281
STATE,0,0,3,1,14,13,89,110,120,89,31,21,4560
SUM,173,277,265,725,3067,454,110,5071,5071,4649,422,422,27894
