predicted_non,ACTION,COMPONENT,FUNCTION,ISSUE,O,PARAMETER,STATE
ACTION,156,0,0,0,2,1,0
COMPONENT,0,271,3,5,12,3,2
FUNCTION,7,1,245,2,1,0,0
ISSUE,1,2,8,704,8,0,0
O,7,0,2,11,3016,2,6
PARAMETER,2,2,5,3,17,446,0
STATE,0,1,2,0,11,2,102
