,accuracy,precision,recall,f1
STATE,0.9951651893634166,0.864406779661017,0.9272727272727272,0.8947368421052632
O,0.9842598127116956,0.9908015768725361,0.9833713726768829,0.9870724922271314
FUNCTION,0.9937638302152484,0.95703125,0.9245283018867925,0.9404990403071017
ISSUE,0.9919678714859438,0.9737206085753803,0.9710344827586207,0.9723756906077349
ACTION,0.9959677419354839,0.9811320754716981,0.9017341040462428,0.9397590361445783
COMPONENT,0.9937638302152484,0.9155405405405406,0.9783393501805054,0.9458987783595114
PARAMETER,0.9925658026923849,0.9389473684210526,0.9823788546255506,0.9601722282023681
macro,0.9924934398027744,0.9459400285060321,0.952665599063903,0.9486448725648128
micro,0.9924803398197578,0.9741668309998028,0.9741668309998028,0.9741668309998028
