predicted_non,ACTION,COMPONENT,FUNCTION,ISSUE,O,PARAMETER,STATE,TRUE,PRED,TP,FP,FN,TN
ACTION,156,0,0,0,2,1,0,173,159,156,3,17,4784
COMPONENT,0,271,3,5,12,3,2,277,296,271,25,6,4669
FUNCTION,7,1,245,2,1,0,0,265,256,245,11,20,4695
ISSUE,1,2,8,704,8,0,0,725,723,704,19,21,4236
O,7,0,2,11,3016,2,6,3067,3044,3016,28,51,1924
PARAMETER,2,2,5,3,17,446,0,454,475,446,29,8,4494
STATE,0,1,2,0,11,2,102,110,118,102,16,8,4838
SUM,173,277,265,725,3067,454,110,5071,5071,4940,131,131,29640
